id,person,organization,location,date
0000800d9058217f6509d7e63ad475e2de0da611.story,"Richard Spillett, Carer Kim Taylor, Kim Taylor, Jake, Evelyn Raywood, Yasin Patel, Philip Le Shirley, Fire chiefs, London fire chiefs, Jean Booth, Barmaid Laura Baty, Laura Baty, Charlie Pugsley","Ford Mondeo, Prestige Vaping， the Royal Society for the Prevention of Accidents","Chesterfield, Derbyshire, Leicester, East London, Wythenshawe Hospital, Manchester, Richmond, North Yorkshire",
0001d4ce3598e37f20a47fe609736f72e5d73467.story,"shooting instructor, nine-year-old girl, Charles Vacca, Sam Scarmardo, Mike Murphy, Mohave County Sheriff, Jim McCabe, Liz Matthews, Nikki Bateman, Cameron Atfield","Arizona shooting range, NBC News , MSNBC, Las Vegas Review Journal, John Clayton Show","Nevada, Bullets and Burgers, Arizona, Las Vegas, White Hills, Lake Havasu City",
0002067d13d3ca304e0bc98d04dde85d4091c55e.story,"Paul Maxwell, Joe Smales, Niall Pawson, Bert, Mr Justice Butterfield, Rochdale, Tameside","Greater Manchester Police, Leeds Crown Court","Rochdale town centre, Wakefield, West Yorkshire","2/22/2014, 1996, 1998, 2011, June 1996"
000219931d2c3aae55dc2acdc5f690d0c112ab17.story,"Una Crown, retired postmistress, Jack Roland Crown, William Morris, Simon Gledhill, Judith Paynes, Nat Carey, Fraser Wylie, Constable Mark Hopkins","Home Office, Bedfordshire, Cambridgeshire and Hertfordshire professional standards department","Wisbech, Cambridgeshire, Huntingdon","1/13/2013, June 2013"
00022dbfa44ccdb94c1dc06938047e258076cf75.story,"Chris Brooke, Paul Smith, Richard Woolfall, David Gordon","Taliban, Hull Crown Court",East Hull,3-Sep-12
0002b1d590aa4d2f6f000a03947317b6dc4e5c18.story,"Ryan Kisiel, Mark Duell, Alexander Litvinenko, Russian spy, Andrei Lugovoy, Dmitry Kovturn, Marina Litvinenko, Vladimir Putin, Hugh Davies, Robert Owen, Ben Emmerson QC, Anatoli, Lugovoy, Kovtun","British intelligence, KGB, MI5, MI6, The Daily Mail, The Metropolitan Police Service, Her Majesty’s Government, High Court, Scotland Yard, Crown Prosecution Service","London hotel, Scotland, Millennium
Hotel, Grosvenor Square","9/20/2012, November 1, 2006"
0002b6c22d2efa3af4971f9d515178bb89e31934.story,"Mark Duell, Marcel Maden, Gary Kelly","Manchester Crown Court, Greater Manchester Police","Salford, Greater Manchester",14-Mar-13
0002c17436637c4fe1837c935c04de47adb18e9a.story,"Harry Burkhart, Blaga Stancheva, Dorothee, Sean Carney, Los Angeles County Deputy District Attorney, Upinder Kalra, Steve Cooley, Los Angeles District Attorney, Edward Nordskog, Nordskog, Deputy U.S. Marshals, Dorothee Burkhart, Gunther Meilinger","CNN, Canadian government, Los Angeles Superior Court","Vancouver, British Columbia, Canada, Los Angeles, Hollywood, West Hollywood, Sherman Oaks, Neukirchen, Frankfurt, Germany, United States, Los Angeles jail","2010, March of 2010, between 2000 and 2006, September, 2011, January 24"
00030c0cba08a5b361fd3ecb4dbf232da8269c55.story,"Graham Smith, Honey, Barbara Roberts",Withington Hedgehog Hospital Trust,Manchester,"6/23/2012, 2025, 2001"
0003ad6ef0c37534f80b55b4235108024b407f0b.story,"Jose Carlos Montano, Mark Gagan, Cody Ray Smith, Ari Abdallah Morales, Marcelles James Peter, Manuel Ortega, Salvador Rodriguez","CNN, Richmond Police","northern California high school campus, San Pablo, California, Richmond, the Richmond High School, Contra Costa County Superior Court",
00050e5dbf398963ad40cb6ff81c918c932cc809.story,"Edd Filiti, Blamed Sylvester, Jennifer Flavin, Mike Larkin, Sylvester Stallone, Toni Ann, Sasha Czack, Mark Berry","Rambo, New York Post, Los Angeles Police Department, RadarOnline","Hollywood Hills, Comic Con","7/6/2023, 16 July 2012, 1996, 1985, 1990"
000513feba4745611532547b50df128c5ea564e4.story,"Antonio French, Darren Wilson, Michael Brown, Thomas Jackson, Jay Nixon","Ferguson police, ABC News, National Guard","Ferguson, West Florissant",
0005c9808410ba585973fdf2eaa0d1bb9070546e.story,"Greg Bird, Beccy Rochow","The Gold Coast Titan, the Dally M Awards, NRL, NSW State of Origin, Four Nations, Australian team, New Zealand","Byron Bay, NSW coastal town",
00092a7572e6e1d254a6d5f079c4d72d33435667.story,"Don Pyle, Sandy Pyle, Alexis (Lexi) Boone, aitlyn (Katie) Boone, Charlotte Boone, Wesley (Wes) Boone, Taylor Smith, Russ Davies, Eve Morrison, Clint Boone, Randy, Stacey Boone, David Cheplak, William McMullan, Robert Howarth, Caroline Wugofski","Anne Arundel County Fire Department, The Baltimore Sun, WUSA9, Anne Arundel County Fire, Police Departments, the Naval Academy, Bureau of Alcohol, Tobacco, Firearms, ATF's Baltimore field office, CNN, Washington Post, ScienceLogic, Baltimore Sun, ScienceLogic, DailyMail.com","Hannover, Maryland, Annapolis, Silicon Valley, Reston, Virginia, Chesapeake Bay, Church Creek, Childs Point Road","2008, 2012, 2005"
000940f2bb357ac04a236a232156d8b9b18d1667.story,"Casey Kasem, Scott Thompson, Danny Deraney, Kerri Kasem, Jean Kasem, Julie, Mike Kasem, Shaggy, Jane Caffrey","CNN, St. Anthony Hospital, Gig Harbor, Washington court, Scooby-Doo, NBC","western Washington, Santa Monica, California",2009
000994296459fb84cf26cf71a0c109c192758c11.story,"Maddy Andrew, Paula Andrew, Mike, Stephen Hayes",North Yorkshire Police,"Scarborough, promenade",
0009ca480b5c9d311cb43f852529e5e2a346fef5.story,"Jennifer Thompson, Scott Mann","Riverside middle school, Dayton Daily News, Logan County Sheriff","Ohio, De Graff",
000beb8706bc2ad4c0c3040faf0ce54caa315454.story,"Lucy Osborne, Rosie Taylor, Irvine Patnick, Nick Clegg, Sheffield Hallam, Lynda, Suzanne, Matthew","Liverpool, Hillsborough Independent Panel, OBE, Kingfield Synagogue, Sheffield Jewish Representative Council, Maccabi sports, youth organisation","Buckingham Palace, Sheffield","1987 to 1997, 31 December 2012, December 30, 1980"
000c5ee0134182945f21c67d4e8af59259cf77a2.story,"Stephen Collins, Faye Grant, Eric Camden, David Gallagher, Jessica Biel, Barry Watson, Beverly Mitchell, Mackenzie Rosman, Catherine Hicks, Kate, Ilene, Donna D'Errico, Keri Russell","MailOnline, TMZ, Boston radio station, Baywatch, Playboy, NYPD, Special Victims Squad, The Babysitter's Seduction, 7th Heaven, Ted 2, Screen Actors Guild, LAPD","New York, Los Angeles, Tarzana, California","1990s, 2007, 2012"
000cd1ee0098c4d510a03ddc97d11764448ebac2.story,"Kamal Prasad Kharel, Maheshwor Dhakal","CNN, Department of National Parks, Wildlife Conservation","Kathmandu, Nepal, Baitadi, India, Uttarkhand, Himalayas",
000e009f6b1d954d827c9a550f3f24a5474ee82b.story,"Kyle White, Barack Obama, Barbara Starr","CNN, Army, Chosen Company, Army Special Forces, Stars and Stripes, National Public Radio, NPR, Congressional Medal of Honor Society","Afghanistan, America, Charlotte, North Carolina, Iraq, White House","9/11/2001, November 9, 2007,February 10"
000e7f26e4dda517050bc09ee8d9a08a3b2334b7.story,"Louise Eccles, Rebecca Hughes, Melissa Reid, Michaella McCollum Connolly, William Reid","Colombian gang, Lenzie, Colombian mafia","Lima, Peru, Ibiza, Peruvian, San Antonio Bay, Dungannon, Northern Ireland, Glasgow, Dirandro police station","8/19/2013, 20 August 2013, August 6"
000f9a3513a610ff46580007e9ef7e9dd0bc9fef.story,"Patricia Spencer, Pamela Hobley, Mary Buehrle, Mark David","Oscoda High School, Missing Persons of America, 48 Hours' Crimesider, Oscoda Township Police, National Center For Missing Children","Oscoda, Michigan, Wilber Township, Oscoda, River Road, Wilber Township","10/31/1969, 2010"
000fdddcbfce58b56605f99e81c22c9b86ea4773.story,"Jill Reilly, Kathleen Castro, Mike Burke, Kendrick Doidge","Sacred Heart Hospital, Pensacola News Journal, West Florida Hospital, Escambia County Sheriff's Office","Florida, Escambia County Jail, United States",
0012256d996ac32c25dd1723785e567b3c063cab.story,"Amanda Knox, Colin Sutherland, Meredith Kercher, Raffaele Sollecito, Rudy Guede, Edda Mellas, Carlo Dalla Vedova, John Kerry, Chris, Ashley, Delaney, James Terrano, Markus Wiget","University of Washington, West Seattle Herald","Seattle, Rome, Washington, Italian prison, Italy, Highline, New York","2007, 2011, 2013"
0012c075cf01cbdc30895f7a1568cf556225c0c3.story,"Sarah Jones, Nik Richie, William Bertelsman, Cheryl, David Gingras","Daily Mail Reporter, Cincinnati Bengals, Dixie Heights High School, ABC, U.S. Circuit Court of Appeals, Communications Decency Act, CDA","Edgewood, Kentucky, Covington","2009, 1996, October 1, December 31, June 27"
00139ad128fc573dac7dfe4ce4921a07a408be60.story,"Man Haron Monis, Tori Johnson, Katrina Dawson, Mamdouh Habib, Jamal Daoud, Ibrahim Abu Mohamed, Fairfax","State Protection Group, Daily Telegraph, SPG, The Bomb Squad, Eight Selborne, Muslims, Hezbollah Australia, News Corp, Sunni, Shia, Sydney Muslim community, Telegraph","Lindt café, Martin Place, Sydney, CBD, Australia, Auburn, Nabi Akram Islamic Centre, Granville, Guantánamo Bay, Melbourne, Pakistan","12/16/2023, 2009, December 16, 2007, September 11"
0013a4baaf65a56c857088f2e236bfbc080c88dc.story,"Jill Reilly, Helen Pow, Helen Collis, Yoselyn Ortega, Lucia, Leo Krim, Valerie Van Leer-Greenberg, Gregory Carro, Jesus, Karen Rosenbaum, Nessie, Kevin Krim, Marina Krim","State Supreme Court, NY Daily News, news service, Lulu & Leo Fund, CNBC","New York, Los Angeles, Tarzana, California, Dominican Republic","8/13/2013, October 25"
001553918ab13ec4d55b7adf9175ba021fc1f7f8.story,"Steve Robson, Joshua Ramirez, Joshua John, Alma Silva Ramirez, Joshua Lorenzo Ramirez, Isaac Ramirez, Teresa Ramirez, Krystal Ramirez, Saul Tarango, Jesse Ramirez, Saul Tarango","Plainview High School, Hereford Independent Schools District, Hereford ISD, KAMR-TV, Amarillo Globe-News","Houston, Texas","3/22/2013, March 8, March 10, March 12, March 17, Feb.10, 1998"
00169039da88af38387c7da51d021868fcb6f26c.story,"Sam Webb, Edward Copland, Alison Quanbrough, Steven Duffy",Crown Prosecution,"Blackpool, Lancashire, Lytham Road",29-Oct
0016a36506199baae4cae50cd0758e45dddf87e7.story,"Gillian Taylforth, Dave Fairbairn, Geoff Knights, Kathy Beale","MailOnline, North & East Hertfordshire Magistrates Court, EastEnders","Hertfordshire, Fore Street, Cambridgeshire, UK, Bristol Crown Court","2/7/2023, February 23, 2009, 2012, 2003"
0016bfe904685ce40f094b07c294c2065dd3a194.story,Jessica Jerreat,"Therrell, Atlanta Journal Constitution, Crime Scene Investigation, Grady Hospital, Marcus Trauma Center","Atlanta High School, Therrell High School, Southwest Atlanta",
0018963c6bfd060dbbbd6633a5655712d90643fb.story,"Rebecca English, Queen, Sandringham, Kate, William, Duke, James Everett, Duchess of Kent, Duke of Edinburgh, Prince Charles, Camilla Parker Bowles, Hugh van Cutsem, Neville Warnes, Karen Melhado","Royal, Lynn and West Norfolk Borough Council, Anmer Mere Yacht Club, RAF","Norfolk mansion, Duke, Duchess of Cambridge, Grade II, Sandringham Estate, Anmer Hall, Kensington Palace, West London, St Mary the Virgin Church, Duchess of Cornwall, York, Anglesey, Nottingham Cottage, Kensington Palace, Buckingham Palace","10 January 2013, 11 January 2013, December 10, 1972, 1990, March 11, 1802, 2017, 2001"
00197f390e3dd2ce02eabb5fd44bb40b89b64389.story,"Lydia Warren, Sydney Spies, Denise 'Miki' Spies, Miki Spies, Matt Lauer","The Durango Herald, Durango High School, American Horror House, Westwood newspaper","Durango, Colorado, Denver, Louisiana","6/24/2023, Halloween"
0019f3f79be4536756ac180d154bf67294d0c9b6.story,"Graham Bevan, Shamalia Qureshi, Ms Qureshi, Mitigating Arshad Mahmood, John Potter","Daily Mail, Bradford Crown Court, Sony Ericsson","Haworth, West Yorks","3/12/2013, 2007, 1 December 2011"
001a8b20279cb0b829cdb4fa8cd6997949c33f09.story,"Simon Tomlinson, Jill Reilly, Chris Parsons, Oksana Makar, Tetyana Surovitska, Maxim Prisyjnikov, Artyon Pogosyan, Yevgeniy Krasnoshek, Yanukovych","Hurriyet Daily News, Kyiv Post, Gazeta.ua, Mykolayiv, Femen","Ukraine, Donetsk, Kyiv","3/9/2023, March 13"
001b4673dbb3437282cd2ea58d9eca471e25780f.story,"Pavel Dmitrichenko, Sergei Filin, Anzhelina Vorontsova, Yuri Zarutsky, Andrey Lipatov, Gennady Yanin, Nikolai Tsiskaridze, Galina Stepanenko","Bolshoi Ballet, Ivan the Terrible, Swan Lake, RIA Novosti news, Moscow Police, CNN.com",Bolshoi Theatre,"3/1/2011, January 17"
001b6dccba3ab0efb4296e04669bac42f5bee886.story,"Jill Reilly, Jacob Spates, Joshua, Adrienne Spates, Max Langham, A'zhari Jones, A'zhiah","TODAY, Department of Child Services","Memphis, Regional Medical Center, Le Bonheur Children’s Hospital, Virginia","10/22/2013, 2011, January 24, 2011, April 2012"
001b8ecda7b31fff8ab04a99a0455336477f09a1.story,"Xynthia Hawke, Briton, Isaac, Yannick Balthazar, Helga Wauters, Fraser, Clare, Iris, Florence Hegoburu","Haygrove School, University of London Institute","France, Ustaritz, French Pyrenees, Orthez, Pau, UK, Petherton, Somerset, Paris","9/26/2023, September 30"
001c9b4f4f1f431b85bae0abaadf4e7666064f35.story,"Dianne Staniforth, Paul, Pc Michelle Witham, Julie Baird","Department of Work and Pensions, Samaritans","Chesterfield, Derbyshire, Sheffield Hospital, Pinderfields Hospital, Wakefield, West Yorkshire","Sunday, April 28, October 2012, April 22"
001db2e0e30e54bc5effda388ffb51425d018caf.story,"Philip Blackwood, Tun Thurein, Htut Ko Ko Lwin, Buddha, Ye Lwin, Myat Nandar, Phil Robertson, Brian Blackwood","New Zealander, Religious Department, VGastro Bar, Human Rights Watch, Fairfax Media","New Zealand, Myanmar, VGastro bar, Yangon",2011
001dc91a62bad5263259a1d664c821cb1e700f27.story,"James Jones Jr, David Baldwin, Jordan Baker, Jonathon Myles, Kaylnn Ruthenberg","Clark Atlanta University, Craigslist, Marietta Police, Fickett Elementary School, HBCU Rising Cares Mentoring, Brown Middle School, ABC News","Atlanta, Central Florida, Daytona Beach",
001e8bda2f7ab73bf81314c1639a97dae2751703.story,"Angela Corey, George Zimmerman, Trayvon Martin, Norman Wolfinger, Hal Uhrig, Craig Sonner, Sean Hannity, Joran Van Der Sloot, Cristian Fernandez, David, Dennis Baxley, Dee Dee, Sunny Hostin","CNN, Fox News, 4th Judicial Circuit, Sanford Police, Target","New York, Northeast Florida, Seminole County Courthouse, Jacksonville, Duval County jail","4/10/2023, February 26"
001f7a255ce06e0bc3a8cffb94fc0019ba0f2f34.story,"Italvino, Diva Poss, Rafael Max","Express UK, The Huffington Post",,1948
001fb37cf8a91dd358548d409d1ea09f4120ab6f.story,"Sam Webb, Richard Muzira, Michelle Baharier, Boris Johnson, Andrew Gilligan, James, Venera Minakhmetova, Dave, Roger William De Klerk, Brian Holt, Francis Golding, Roger de Klerk, Venera Minakhmetova, Vigil","CoolTan Arts, Metropolitan Police Service, City Hall, Mental Health and Disability, Bank of America, BBC London 94.9, Evening Standard, The Parliamentary Advisory Council for Transport Safety","Camberwell, London, Camberwell Road, Camden, Dulwich, Forest Hill, Croydon, Mile End Road, Cycle Superhighway 2, Holborn, St John's Wood, Aldgate, Whitechapel","11/19/2013, November 5th, November 12th, 2012, 2011"
0021fe8d65bd0d6d76d5fefba2ac02f0c48a43f4.story,"Randy Zelin, Anthony Moschetto, Christi Paul, James Chmela, James Kalamaras, Anne Donnelly","CNN, New Day, Nassau County District Court, WCBS",Long Island,
0022a8a7afe47ac14e7ed51c38f629c866661e38.story,"Lucy Lee, John Lowe, Christine Lee, Mark Dennis QC, Stacey Banner, Rafferty, Susanna Wilson, Chris Gleeson",Guildford Crown Court,"Tilford, Farnham, Surrey","2/23/2023, 2013"
0022b77434a498d0bf38836caa3ec8c071f624f6.story,"Jimmy Allen Williams, Thomas Michael Rios, Leah Gail Johnson, Bruce Peoples, Betsy Randolph, Wayne, Kim Carmichael, Debbie McManaman","Daily Mail, Camaro, Chevrolet, KFOR, KWEY, Custer County Sheriff's Department, Oklahoma Highway Patrol, Oklahoma Bureau of Investigation, Newsnine.com","Oklahoma, Foss Lake, Elk City, Custer County, Washita County, Sayre, Beckham County, Highway Patrolmen","9/17/2013, 18 September 2013, 1969, 1950s, 1970, 1960s, November 10 1970, November 20, 2003"
002360f910e8b59949ff31b49af0a7b8126593d3.story,"Hugo Gye, Esme Smith, Sian, Mark Smith, Jon Savell","Surrey Police, Nato, CCTV, Metropolitan Police, Joint Warfare Centre, Gulf War, All Hallows Catholic School, Twitter, Facebook","Farnham, Surrey, London, Woking, Aldershot railway station, Waterloo, Afghanistan, Northern Ireland, Charing Cross","9/23/2013, 24 September 2013, September 12, September 19, September 20, September 23"
00238f16261b335618b065b5a4e5433de3c14615.story,"Benedict Cumberbatch, Abraham Cumberbatch, William Pitt, Wanda Ventham, William Ford, Solomon Northup, Joshua, Ann, Timothy Carlton, Tracie Bennett, Bussa, Abraham Parry, Steven Tempro","12 Years A Slave, MailOnline, Amazing Grace, Ejiofor Property, Taunton School","UK, Barbados, Saint Andrew, St Nicholas Abbey, Cleland Plantation, Cleland, St Peter's Parish Church, Barbados, Britain, Fairwater House, Devon","18th and 19th centuries, 1830s, 2006, February 22, 2013, late 17th century, 2012, 1820, 1816, 1838, 1750, 1985"
885b991ac7f9954aa6562937d150287cc89dbe09,"Rudi Garcia, Arsene Wenger, Ray Parlour, Jurgen Klopp, Kieran Gibbs, Mathieu Flamini, Winston Reid, Morgan Schneiderlin, Sami Khedira","Sportlobster.com, Gunners, Roma, AC Milan, Juventus, Chelsea, Arsenal",Emirates stadium,since 2005
1495092706291d5e121afe2f9b277e07a736e14f,"Gerhard Tremmel, Lukasz Fabianski, Neil Taylor, Federico Fernandez, Rangel, Bartley, Williams, Britton, Ki, Montero, Routledge, Sigurdsson, Wilfried Bony, Cornell, Amat, Richards, Shelvey, Carroll, Dyer, Gomis, Emnes, Barrow, Tiendalli, Fulton, Emmanuel Adebayor, Jan Vertonghen, Harry Kane, Ryan Mason, Nabil Bentaleb, Christian Eriksen, Kyle Naughton, Eric Dier, Kyle Walker, Robert Madley, Garry Monk, Mauricio Pochettino, Gylfi Sigurdsson","Sportsmail, Opta, Swansea City, Tottenham Hotspur, West Ham, Argentina, Besiktas","Liberty Stadium, German, Upton Park, Togo, Africa, Turkey,  Sky Sports 1, Ivorian","Sunday 4pm, 2014, January 2014, 2008-09 season"
7a554073b70b06f416e6fe7ca6571fa4b44fd17e,"Mo'ne Davis, Anand, Sujata Kumar, Mr Kumar, Spike Lee","the Taney Youth Baseball Association, Taney Dragon, Nevada, The Philadelphia Daily News, Nashville, Sports Illustrated, ","New Jersey, Trolley Works Field, South Williamsport, Pennsylvania","May 18 last year, August 20"
40b936aed86b3eca6775709a8ea26edf02f4c99e,"Paul Collins, Gary Lineker, Roy Hodgson, Wayne Rooney, Rooney, Lineker, Frank De Boer, Daniel Sturridge, Prince William, Sturridge, Raheem Sterling, Adam Lallana, Danny Welbeck, Roy","England, Brazil, Peru, Italy, Barcelona, Tottenham, Liverpool, Royal",Wembley,Blahzil 2014
8fc31e70e7eaaee88bd239f9ee8bd54da768ad68,"Warren Gatland, Liam Williams, Cornal Hendricks, Morne Steyn, Gethin Jenkins, Alun-Wyn Jones, Taulupe Faletau, Alun Wyn Jones, Samson Lee, Josh Turnbull, Adam Jones,  Aaron Shingler","Wales, South Africa, Scarlets, Springbok, Boks, England, Ireland, Durban, Gatland, New Zealand, Australia, Wallabies",Nelspruit,2010
8822623203f2e477043a18c11c808f4510faf83f,"J.J. Abrams, Tim Allen, Greg Daniels, Tom Selleck, Matthew Perry, Paul Reiser, Michael Chiklis, Mark Harmon, Kevin Bacon, Lisa Kudrow, Claire Danes, Ashley Judd, William H. Macy, Susan Sarandon, Elisabeth Shue, Josh Duhamel,  Scott Speedman","EW.com, ABC, EW, Dunder-Mifflin, CBS, NBC, Entertainment Weekly, Time Inc.","Alcatraz, ","fall season, Sept. 20,  the '90s, Sept. 24, 1992-1999, Sept. 28, the '80s, 2010"
72b08e4f42d7a613cd90dde96fcc4701cf9d8288,"Mike Brown, Stuart Lancaster, Luther Burrell, Alex Goode, George North, Andy Farrell, Ben Youngs, Goode, Jonathan Joseph, George Ford","England, Ireland, Italy, Irish, France, Wales, Munster, Clermont, Saracens","Pennyhill Park, Dublin, Bagshot",
09b9fda5fe70b96e95d9899f080dccb0e0dcd77a,"Ched Evans, Natasha Massey, Stephen Vaughan, Ched, Jeffrey Farrugia, Charlie Webster, Jessica Ennis-Hill, Hibernian ","Hibernians, Sheffield United, Maltese Premier League club, Hibernians  Evans, Sky Sports News, Scottish Championship, Tranmere Rovers, Oldham Athletic, Hartlepool United, Twitter, HFC","Maltese, Malta, UK, Bramall Lane, Paola","2012, 2011"
2fc6ade57e3d581fdf917378cde9033425ddb242,"Christian Benteke, Kevin De Bruyne, Andre Schurrle, Tim Sherwood, Randy Lerner, Paul Lambert's, Mario Balotelli, Jack Grealish, Christian, Benteke","Aston Villa, Villa, Wolfsburg, German club, Chelsea, QPR, Queens Park Rangers, Tottenham Hotspur, Liverpool, Birmingham","Belgian, Bundesliga, Villa Park, England",
c7128352cda329c71eaa85636f0405eb608e4e04,"Serena Williams, Eleni Daniilidou, Urszula Radwanska, Yaroslava Shevdova, Gabby Douglas. Venus, Maria Kirilenko, Samantha Stosur, Anabel Medina Garrigues, Andy Roddick, Jeremy Chardy","CNN, the Bank of West Classic,","Greek, London, Poland, Kazakh, Russia, Rio, Spain, French, the Flushing Meadows","2012, 2016, 2003"
2e7647f5cfed98f97e4a6989fcecd9da4319532f,"Serena Williams, Chris Evert, Martina Navratilova, Steffi Graf, Patrick Moratoglou, Virginie Razzano, Sabine Lisicki","CNN, ",,"2013 season, 2012"
10de6b37b495e034d3404c0a28c17839d9d6a978,"Jesper Westerberg, Alex Ferguson, Jorge Campos","Halmstad, Puma, Twitter, Sweden, La Hoya, Manchester United, Southampton, hull city home","Swedish, Spanish","2013, 2013/2014, 1995-1996, 1996, 1994, 1991-1992, the early '90s"
